generation,mean_p,sd_p,hawk_freq,n,k,early_stop,ess
464,0.67894,0.0802,0.67894,100,30,false,0.66667
465,0.6826,0.0802,0.6826,100,38,false,0.66667
466,0.67419,0.08355,0.67419,100,31,false,0.66667
467,0.67584,0.08444,0.67584,100,27,false,0.66667
468,0.66769,0.08955,0.66769,100,27,false,0.66667
469,0.66893,0.08906,0.66893,100,40,true,0.66667
470,0.66222,0.09282,0.66222,100,37,false,0.66667
471,0.66539,0.08902,0.66539,100,30,false,0.66667
472,0.66629,0.09236,0.66629,100,39,false,0.66667
473,0.65414,0.09369,0.65414,100,27,false,0.66667
474,0.66159,0.09045,0.66159,101,40,true,0.66667
475,0.66157,0.09372,0.66157,100,40,true,0.66667
476,0.67241,0.0893,0.67241,101,36,false,0.66667
477,0.67743,0.08755,0.67743,100,25,false,0.66667
478,0.68143,0.08557,0.68143,100,26,false,0.66667
479,0.69042,0.08093,0.69042,100,27,false,0.66667
480,0.69698,0.07825,0.69698,100,36,false,0.66667
481,0.69293,0.08031,0.69293,100,27,false,0.66667
482,0.69653,0.0779,0.69653,100,19,false,0.66667
483,0.68807,0.08145,0.68807,100,27,false,0.66667
484,0.69884,0.07709,0.69884,100,37,false,0.66667
485,0.70129,0.07442,0.70129,100,35,false,0.66667
486,0.69889,0.07514,0.69889,100,26,false,0.66667
487,0.70266,0.07346,0.70266,101,30,false,0.66667
488,0.70709,0.07007,0.70709,100,29,false,0.66667
489,0.70903,0.06807,0.70903,100,24,false,0.66667
490,0.7042,0.07033,0.7042,100,22,false,0.66667
491,0.69846,0.07351,0.69846,100,21,false,0.66667
492,0.68772,0.07793,0.68772,101,27,false,0.66667
493,0.68034,0.08085,0.68034,100,28,false,0.66667
494,0.68632,0.07883,0.68632,100,30,false,0.66667
495,0.68245,0.07944,0.68245,100,28,false,0.66667
496,0.68752,0.07928,0.68752,100,30,false,0.66667
497,0.68532,0.08006,0.68532,100,29,false,0.66667
498,0.68618,0.08256,0.68618,100,34,false,0.66667
499,0.6747,0.08675,0.6747,100,29,false,0.66667
500,0.67689,0.08829,0.67689,100,35,false,0.66667
501,0.68233,0.08932,0.68233,100,40,true,0.66667
502,0.67092,0.08895,0.67092,100,36,false,0.66667
503,0.66806,0.08833,0.66806,100,35,false,0.66667
504,0.67011,0.08522,0.67011,100,30,false,0.66667
505,0.68238,0.08433,0.68238,100,38,false,0.66667
506,0.67446,0.08678,0.67446,100,25,false,0.66667
507,0.67261,0.08558,0.67261,100,29,false,0.66667
508,0.66758,0.08616,0.66758,100,31,false,0.66667
509,0.66351,0.08477,0.66351,100,31,false,0.66667
510,0.67441,0.08567,0.67441,100,40,true,0.66667
511,0.67756,0.08668,0.67756,100,36,false,0.66667
512,0.68433,0.08508,0.68433,100,33,false,0.66667
513,0.69128,0.08385,0.69128,100,20,false,0.66667
514,0.70135,0.08129,0.70135,100,21,false,0.66667
515,0.68404,0.08624,0.68404,100,25,false,0.66667
516,0.69118,0.08674,0.69118,100,34,false,0.66667
517,0.6928,0.08403,0.6928,100,33,false,0.66667
518,0.69102,0.08338,0.69102,100,37,false,0.66667
519,0.67991,0.08499,0.67991,100,28,false,0.66667
520,0.66861,0.08692,0.66861,101,40,true,0.66667
521,0.6779,0.08715,0.6779,100,36,false,0.66667
522,0.67889,0.08808,0.67889,100,25,false,0.66667
523,0.68632,0.08668,0.68632,100,36,false,0.66667
524,0.69112,0.0861,0.69112,100,30,false,0.66667
525,0.69805,0.08167,0.69805,100,27,false,0.66667
526,0.70203,0.08142,0.70203,100,22,false,0.66667
527,0.70211,0.08151,0.70211,100,17,false,0.66667
528,0.69942,0.08267,0.69942,100,29,false,0.66667
529,0.69334,0.08812,0.69334,100,28,false,0.66667
530,0.69252,0.08634,0.69252,100,29,false,0.66667
531,0.6885,0.08442,0.6885,100,26,false,0.66667
532,0.69663,0.08376,0.69663,101,33,false,0.66667
533,0.69169,0.08423,0.69169,100,27,false,0.66667
534,0.69846,0.08373,0.69846,100,25,false,0.66667
535,0.69503,0.08605,0.69503,100,21,false,0.66667
536,0.69183,0.08774,0.69183,100,21,false,0.66667
537,0.69741,0.08478,0.69741,100,36,false,0.66667
538,0.69272,0.08661,0.69272,100,21,false,0.66667
539,0.6902,0.08729,0.6902,100,25,false,0.66667
540,0.6942,0.08385,0.6942,100,24,false,0.66667
541,0.69222,0.08326,0.69222,100,28,false,0.66667
542,0.68082,0.08288,0.68082,100,30,false,0.66667
543,0.68692,0.07941,0.68692,100,30,false,0.66667
544,0.68741,0.08194,0.68741,101,37,false,0.66667
545,0.69154,0.08199,0.69154,100,21,false,0.66667
546,0.69092,0.08445,0.69092,100,27,false,0.66667
547,0.69936,0.08287,0.69936,100,26,false,0.66667
548,0.70798,0.07951,0.70798,100,27,false,0.66667
549,0.70121,0.0829,0.70121,100,12,false,0.66667
550,0.70452,0.08133,0.70452,100,17,false,0.66667
551,0.70187,0.08332,0.70187,100,21,false,0.66667
552,0.70872,0.07991,0.70872,100,21,false,0.66667
553,0.70772,0.07698,0.70772,100,22,false,0.66667
554,0.70513,0.07779,0.70513,100,22,false,0.66667
555,0.70971,0.0756,0.70971,100,27,false,0.66667
556,0.70888,0.07696,0.70888,100,28,false,0.66667
557,0.70896,0.07827,0.70896,100,26,false,0.66667
558,0.70686,0.08015,0.70686,100,32,false,0.66667
559,0.71511,0.07971,0.71511,100,25,false,0.66667
560,0.7179,0.07994,0.7179,100,22,false,0.66667
561,0.71716,0.07949,0.71716,100,16,false,0.66667
562,0.71967,0.07927,0.71967,100,22,false,0.66667
563,0.72003,0.07867,0.72003,100,24,false,0.66667
564,0.7211,0.08448,0.7211,100,23,false,0.66667
565,0.7249,0.08397,0.7249,100,13,false,0.66667
566,0.7214,0.08555,0.7214,100,19,false,0.66667
567,0.72488,0.0878,0.72488,100,16,false,0.66667
568,0.72193,0.09024,0.72193,100,25,false,0.66667
569,0.73818,0.07907,0.73818,100,23,false,0.66667
570,0.73496,0.08272,0.73496,100,19,false,0.66667
571,0.73948,0.08664,0.73948,100,12,false,0.66667
572,0.73696,0.0924,0.73696,100,15,false,0.66667
573,0.73986,0.09029,0.73986,100,21,false,0.66667
574,0.74486,0.08603,0.74486,100,20,false,0.66667
575,0.74467,0.08388,0.74467,100,17,false,0.66667
576,0.74181,0.09105,0.74181,100,21,false,0.66667
577,0.74345,0.08646,0.74345,100,15,false,0.66667
578,0.74468,0.08518,0.74468,100,18,false,0.66667
579,0.74803,0.07653,0.74803,100,16,false,0.66667
580,0.74453,0.08058,0.74453,100,9,false,0.66667
581,0.74723,0.07771,0.74723,100,17,false,0.66667
582,0.75065,0.06764,0.75065,100,18,false,0.66667
583,0.75136,0.06739,0.75136,100,18,false,0.66667
584,0.75179,0.06609,0.75179,100,10,false,0.66667
585,0.75174,0.06808,0.75174,100,11,false,0.66667
586,0.75629,0.06586,0.75629,100,13,false,0.66667
587,0.75171,0.0769,0.75171,100,15,false,0.66667
588,0.74951,0.07699,0.74951,100,10,false,0.66667
589,0.74347,0.09017,0.74347,100,26,false,0.66667
590,0.73896,0.0918,0.73896,100,17,false,0.66667
591,0.74013,0.09467,0.74013,100,18,false,0.66667
592,0.73438,0.09646,0.73438,100,15,false,0.66667
593,0.73224,0.09613,0.73224,100,16,false,0.66667
594,0.74845,0.09179,0.74845,100,24,false,0.66667
595,0.73841,0.09776,0.73841,100,16,false,0.66667
596,0.72776,0.10393,0.72776,100,16,false,0.66667
597,0.72772,0.10826,0.72772,100,20,false,0.66667
598,0.72474,0.1076,0.72474,100,16,false,0.66667
599,0.71709,0.11445,0.71709,100,16,false,0.66667
600,0.70848,0.12173,0.70848,101,19,false,0.66667
601,0.714,0.11802,0.714,100,33,false,0.66667
602,0.72172,0.1104,0.72172,100,20,false,0.66667
603,0.70264,0.12206,0.70264,100,24,false,0.66667
604,0.71699,0.11656,0.71699,100,29,false,0.66667
605,0.72155,0.10979,0.72155,100,18,false,0.66667
606,0.70879,0.11205,0.70879,100,25,false,0.66667
607,0.72084,0.10346,0.72084,100,24,false,0.66667
608,0.71918,0.1013,0.71918,101,21,false,0.66667
609,0.71367,0.10977,0.71367,101,22,false,0.66667
610,0.71066,0.11256,0.71066,100,19,false,0.66667
611,0.71277,0.11362,0.71277,100,21,false,0.66667
612,0.70946,0.11593,0.70946,100,19,false,0.66667
613,0.7201,0.10868,0.7201,100,23,false,0.66667
614,0.71928,0.11616,0.71928,100,27,false,0.66667
615,0.71727,0.11587,0.71727,100,20,false,0.66667
616,0.72282,0.10898,0.72282,100,28,false,0.66667
617,0.72599,0.10817,0.72599,100,28,false,0.66667
618,0.72387,0.10648,0.72387,100,17,false,0.66667
619,0.71374,0.11426,0.71374,100,21,false,0.66667
620,0.70733,0.11637,0.70733,100,28,false,0.66667
621,0.70086,0.12003,0.70086,100,25,false,0.66667
622,0.68684,0.12719,0.68684,100,31,false,0.66667
623,0.67977,0.13112,0.67977,100,29,false,0.66667
624,0.69977,0.12002,0.69977,100,36,false,0.66667
625,0.70137,0.12121,0.70137,100,30,false,0.66667
626,0.70903,0.11792,0.70903,100,34,false,0.66667
627,0.69676,0.13013,0.69676,100,25,false,0.66667
628,0.69857,0.13155,0.69857,100,34,false,0.66667
629,0.70437,0.12723,0.70437,100,26,false,0.66667
630,0.70727,0.12526,0.70727,100,24,false,0.66667
631,0.70394,0.12771,0.70394,100,24,false,0.66667
632,0.69764,0.13392,0.69764,100,20,false,0.66667
633,0.70277,0.13338,0.70277,100,31,false,0.66667
634,0.69662,0.1373,0.69662,100,31,false,0.66667
635,0.70725,0.13005,0.70725,100,21,false,0.66667
636,0.71295,0.12597,0.71295,100,33,false,0.66667
637,0.69817,0.13226,0.69817,100,21,false,0.66667
638,0.70371,0.13581,0.70371,100,32,false,0.66667
639,0.7063,0.13804,0.7063,100,34,false,0.66667
640,0.70594,0.13871,0.70594,100,19,false,0.66667
641,0.72418,0.12775,0.72418,100,32,false,0.66667
642,0.73592,0.1211,0.73592,100,26,false,0.66667
643,0.7415,0.11482,0.7415,100,21,false,0.66667
644,0.73949,0.117,0.73949,100,15,false,0.66667
645,0.73054,0.12154,0.73054,100,8,false,0.66667
646,0.72589,0.11993,0.72589,100,18,false,0.66667
647,0.7348,0.12072,0.7348,100,23,false,0.66667
648,0.73812,0.11995,0.73812,100,17,false,0.66667
649,0.72538,0.1294,0.72538,100,22,false,0.66667
650,0.71511,0.13437,0.71511,100,18,false,0.66667
651,0.71273,0.13398,0.71273,100,33,false,0.66667
652,0.7102,0.13483,0.7102,100,26,false,0.66667
653,0.71261,0.1323,0.71261,100,27,false,0.66667
654,0.70896,0.13845,0.70896,100,19,false,0.66667
655,0.7175,0.13502,0.7175,100,27,false,0.66667
656,0.71773,0.13691,0.71773,100,17,false,0.66667
657,0.72018,0.13356,0.72018,100,28,false,0.66667
658,0.72582,0.12964,0.72582,100,20,false,0.66667
659,0.70664,0.13956,0.70664,100,25,false,0.66667
660,0.67944,0.15036,0.67944,100,23,false,0.66667
661,0.68953,0.14304,0.68953,100,31,false,0.66667
662,0.70207,0.13839,0.70207,100,20,false,0.66667
663,0.70835,0.14786,0.70835,100,22,false,0.66667
664,0.71338,0.15107,0.71338,100,32,false,0.66667
665,0.70047,0.15733,0.70047,100,26,false,0.66667
666,0.71008,0.14063,0.71008,100,33,false,0.66667
667,0.69918,0.14628,0.69918,100,17,false,0.66667
668,0.70474,0.14165,0.70474,100,24,false,0.66667
669,0.70574,0.14274,0.70574,100,29,false,0.66667
670,0.73166,0.13294,0.73166,101,26,false,0.66667
671,0.72849,0.13827,0.72849,100,15,false,0.66667
672,0.73852,0.12982,0.73852,100,18,false,0.66667
673,0.73873,0.129,0.73873,100,15,false,0.66667
674,0.73515,0.12772,0.73515,100,12,false,0.66667
675,0.73711,0.12855,0.73711,100,20,false,0.66667
676,0.74118,0.12657,0.74118,100,12,false,0.66667
677,0.73111,0.13357,0.73111,100,14,false,0.66667
678,0.72086,0.13654,0.72086,100,27,false,0.66667
679,0.71785,0.13369,0.71785,100,17,false,0.66667
680,0.71184,0.13455,0.71184,100,15,false,0.66667
681,0.71118,0.13787,0.71118,100,14,false,0.66667
682,0.71801,0.13386,0.71801,100,26,false,0.66667
683,0.70426,0.14814,0.70426,100,32,false,0.66667
684,0.70255,0.15199,0.70255,100,28,false,0.66667
685,0.69315,0.15361,0.69315,100,25,false,0.66667
686,0.70072,0.15112,0.70072,101,27,false,0.66667
687,0.70364,0.14643,0.70364,100,22,false,0.66667
